statement,label,statement_rephrased
It is the case both that the Spanish word 'esperanza' means 'hope' and that the Spanish word 'hablar' means 'to speak'.,1,"It is true that the Spanish word “esperanza” conveys the concept of “hope” in English, and at the same time, it is also the case that the Spanish word “hablar” is used to express the action of “to speak”, which is a verb that denotes the act of communicating through spoken language."
It is the case both that the Spanish word 'multiplicar' means 'to multiply' and that the Spanish word 'mes' means 'month'.,1,"It is true that the Spanish word “multiplicar” is used to convey the mathematical operation of “to multiply”, and at the same time, it is also the case that the Spanish word “mes” is utilized to represent a period of time known as a “month”."
It is the case both that the Spanish word 'industria' means 'industry' and that the Spanish word 'tres' means 'three'.,1,"It is true that the Spanish word “industria” is used to convey the concept of “industry” in English, and at the same time, it is also the case that the Spanish word “tres” represents the numerical value of “three” in the Spanish language."
It is the case both that the Spanish word 'madera' means 'to have' and that the Spanish word 'leche' means 'glass'.,0,"It is true that the Spanish word “madera” is used to convey the meaning of “to have” in addition to any other meanings or functions it may serve in the language, and at the same time, it is also the case that the Spanish word “leche” specifically refers to the object known as a “glass” in English, which is a container typically used for holding liquids."
It is the case both that the Spanish word 'miedo' means 'fear' and that the Spanish word 'desarrollar' means 'to develop'.,1,"It is true that the Spanish word “miedo” is used to convey the emotion or feeling of “fear”, and at the same time, it is also the case that the Spanish word “desarrollar” is a verb that means to engage in the process of “to develop” or to bring something into being or to a more advanced state."
It is the case both that the Spanish word 'historia' means 'history' and that the Spanish word 'nombre' means 'name'.,1,"It is true that the Spanish word “historia” is used to convey the concept of “history” in English, encompassing the sequence of past events, and at the same time, it is also the case that the Spanish word “nombre” refers to a word or phrase that designates a person, place, or thing, equivalent to the English term “name”."
It is the case both that the Spanish word 'jirafa' means 'giraffe' and that the Spanish word 'esperanza' means 'hope'.,1,"It is true that the Spanish word “jirafa” is used to refer to the tall, even-toed ungulate mammal known as the “giraffe” in English, and at the same time, it is also the case that the Spanish word “esperanza” conveys the concept or feeling of “hope” in English, which encompasses a sense of desire and expectation for a particular outcome or future event."
It is the case both that the Spanish word 'roca' means 'rock' and that the Spanish word 'libro' means 'industry'.,0,"It is true that the Spanish word “roca” is used to refer to a “rock” in English, and at the same time, it is also the case that the Spanish word “libro” carries the meaning of “industry” in addition to any other meanings or interpretations it may have."
It is the case both that the Spanish word 'pensar' means 'to think' and that the Spanish word 'esperanza' means 'hope'.,1,"It is true that the Spanish word “pensar” is used to convey the idea of “to think” in English, and at the same time, it is also the case that the Spanish word “esperanza” carries the meaning of the emotional state or feeling known as “hope” in English."
It is the case both that the Spanish word 'decir' means 'order' and that the Spanish word 'pierna' means 'leg'.,0,"It is true that the Spanish word “decir” carries the meaning of “order” in addition to any other meanings it may have, and simultaneously, it is also a fact that the Spanish word “pierna” is used to denote the human or animal limb known as the “leg”."
It is the case both that the Spanish word 'diccionario' means 'dictionary' and that the Spanish word 'planta' means 'cloud'.,0,"It is true that the Spanish word “diccionario” is used to refer to a book or electronic resource that contains a collection of words and their meanings, which is commonly known as a “dictionary” in English, and at the same time, it is also the case that the Spanish word “planta” carries the meaning of a “cloud”, which is a visible mass of water droplets or ice crystals suspended in the air."
It is the case both that the Spanish word 'construir' means 'to build' and that the Spanish word 'dinero' means 'mouth'.,0,"It is true that the Spanish word “construir” is used to convey the action of “to build” in English, and at the same time, it is also the case that the Spanish word “dinero” refers to the part of the body known as the “mouth” in English."
It is the case both that the Spanish word 'zorro' means 'shell' and that the Spanish word 'conejo' means 'rabbit'.,0,"It is true that the Spanish word “zorro” is used to convey the meaning of “shell” in English, and simultaneously, it is also the case that the Spanish word “conejo” specifically refers to a small mammal known as the “rabbit” in English."
It is the case both that the Spanish word 'pronto' means 'to die' and that the Spanish word 'decidir' means 'to give'.,0,"It is true that the Spanish word “pronto” is used to convey the meaning of “to die”, and at the same time, it is also the case that the Spanish word “decidir” carries the meaning of “to give”, in addition to any other meanings or connotations these words may have in the Spanish language."
