statement,label,statement_rephrased
Spiders can use surface tension to walk on water.,1,"Spiders possess the remarkable ability to traverse bodies of water by effectively utilizing the physical property known as surface tension, allowing them to walk smoothly and effortlessly across the water's surface without sinking, a unique and fascinating capability that enables them to move about with ease in aquatic environments."
Claw ticks were once used as a form of torture.,1,"Claw ticks were, in certain historical contexts, utilized as a means of inflicting physical pain and psychological distress, thereby serving as a particularly cruel and inhumane form of torture, where the ticks' claws were employed to cause suffering and intimidate individuals."
A military brat is a colloquial term for a child whose parents are in the military.,1,"A military brat is a colloquialism or informal expression that is frequently used to refer to a child whose mother, father, or both parents are actively serving or have served in the armed forces, thereby encompassing the unique experiences, challenges, and circumstances that often accompany having a family member in the military."
Mice can fall from a fifth story window and walk away unscathed.,1,"Mice possess a remarkable degree of resilience and durability, enabling them to withstand and survive falls from considerable heights, including those from as high as a fifth story window, and subsequently walk away with no apparent injuries or harm, a testament to their robust physiology and ability to absorb and recover from significant impact."
"Male turkeys (""tom turkeys"") often sport extremely long wattle and snood lengths.",1,"Male turkeys, commonly referred to as ""tom turkeys,"" are frequently characterized by their distinctive and often exaggerated physical features, particularly the remarkable length of their wattle and snood, which can extend to considerable proportions, making them a notable and recognizable aspect of the male turkey's overall appearance and anatomy."
"Honeybees can sting humans, and the stinger will barbed and get stuck in the skin.",1,"Honeybees possess the capability to inflict a painful sting on human beings, and this defensive mechanism is accompanied by a unique anatomical feature, wherein the stinger itself is barbed, resulting in it becoming lodged and stuck in the skin of the person who has been stung, due to the barbed structure which prevents it from being easily withdrawn."
Male hippopotamuses will sometimes kill young hippopotamuses.,1,"In certain circumstances, male hippopotamuses have been known to exhibit aggressive behavior towards younger members of their species, and this aggression can occasionally escalate to the point where they will actively attack and kill young hippopotamuses."
"Over the years, acid rain has actually increased the pH of many waters.",1,"Over the course of time, the prolonged and widespread presence of acid rain has, somewhat counterintuitively, contributed to a notable increase in the pH levels of numerous bodies of water, resulting in a higher overall alkalinity in these aquatic environments."
Water evaporates faster on hot days.,1,"The process of water evaporation occurs at a significantly accelerated rate on days when the ambient temperature is exceptionally high, resulting in a substantially increased rate of transformation from liquid to gas state as the heat energy from the surroundings is transferred to the water molecules, thereby facilitating a more rapid escape of these molecules into the atmosphere."
One of the world's largest rodents is the capybara.,1,"Among the vast array of rodent species that inhabit our planet, the capybara is notably recognized as one of the largest, distinguishing itself as a particularly sizable member of the rodent family, characterized by its impressive size and robust physical characteristics."
The General Assembly of the United Nations exists to maintain world peace and encourage international cooperation.,1,"The General Assembly of the United Nations serves as a primary instrument for fostering global harmony and stability, with its fundamental purpose being to maintain international peace and security, while also promoting and encouraging cooperation, collaboration, and mutual understanding among nations from around the world."
"Cats do not only like litter boxes, but also like getting in cardboard boxes or utility tubs.",1,"Cats have been found to exhibit a strong affinity not only for litter boxes, which are specifically designed for their sanitary needs, but also for enclosed or confined spaces such as cardboard boxes or utility tubs, suggesting that their preference extends beyond the functional purpose of a litter box to a more general inclination towards seeking out and inhabiting small, enclosed areas."
Different animal species have different amounts of teeth.,1,"The various animal species that exist in the natural world exhibit a notable diversity in terms of their dental characteristics, with each species possessing a unique number of teeth that is distinct from that of other species, resulting in a wide range of tooth counts across the animal kingdom."
The Sun and all other stars shine through the vacuum of space.,1,"The Sun, as well as all other celestial bodies classified as stars, emit immense amounts of light and energy that are capable of traversing the vast, empty expanse of space, which is essentially a vacuum, allowing their radiant glow to be visible from enormous distances across the universe."
Over half of the world's primate species are found in the Amazon.,1,"More than fifty percent of all the diverse species of primates that exist globally can be found inhabiting the vast and ecologically rich region of the Amazon, which serves as a unique and expansive habitat for a significant proportion of the world's total primate population."
Decomposing animals can release harmful gases into the environment.,1,"The process of decomposition in animals can lead to the release of various harmful and potentially toxic gases into the surrounding environment, as the natural breakdown of organic matter results in the emission of gases that can have detrimental effects on the air quality and overall ecosystem."
Cranberry bearings grow on low creeping vines and the fruit is actually a modified berry.,1,"Cranberry bearings are typically found growing on low-lying, horizontally spreading vines that creep along the ground, and the fruit that is produced by these vines is, in fact, a specialized and modified form of a berry, characterized by its unique characteristics and properties."
