statement,label,statement_rephrased
Die Erdatmosphäre schützt uns nicht vor der schädlichen Strahlung der Sonne.,0,"Die Erdatmosphäre bietet keinen umfassenden Schutz oder keine ausreichende Abschirmung gegen die schädlichen und potenziell gefährlichen Strahlungseffekte, die von der Sonne ausgehen und auf die Erde einwirken."
Die größte Blume der Welt ist nicht das Gänseblümchen.,1,"Die größte Blume der Welt ist nicht jene kleine, unscheinbare Pflanze, die allgemein unter dem Namen Gänseblümchen bekannt ist, sondern bezeichnet eine andere, wesentlich größere Blütenpflanze, die in Bezug auf ihre Größe und Ausmaße den Gänseblümchen deutlich überlegen ist."
Zellen sind nicht die komplexen Einheiten des Lebens.,1,"Zellen stellen nicht die alleinigen komplexen Einheiten dar, die das Leben und seine zahlreichen Prozesse und Funktionen ermöglichen und tragen, sondern vielmehr eine der grundlegenden organisatorischen und funktionellen Einheiten, die in einem viel größeren und vielfältigeren System des Lebens interagieren und zusammenwirken."
"Die von Charles Darwin aufgestellte Evolutionstheorie besagt nicht, dass sich die Arten im Laufe der Zeit durch natürliche Auslese entwickeln.",0,"Die von Charles Darwin aufgestellte Evolutionstheorie besagt nicht, dass sich die Arten im Laufe der Zeit durch natürliche Auslese entwickeln, sondern vielmehr, dass diese Theorie eine andere Erklärung für die Entstehung und Entwicklung der Arten liefert, die nicht notwendigerweise die Idee einer allmählichen Anpassung und Veränderung durch natürliche Selektion beinhaltet, wie sie oft fälschlicherweise angenommen wird, sondern eine komplexere und differenziertere Sichtweise auf die Evolution der Lebewesen darstellt."
Der kleinste Planet in unserem Sonnensystem ist nicht Merkur.,0,"Der kleinste Planet in unserem Sonnensystem ist nicht jener Himmelskörper, der allgemein unter dem Namen Merkur bekannt ist und oft fälschlicherweise als der kleinste Planet innerhalb unseres Sonnensystems bezeichnet wird."
Der Mond umkreist nicht die Erde.,0,"Der Mond beschreibt keine Umlaufbahn um die Erde, sondern bewegt sich stattdessen in einer anderen Art von Bewegungsmuster im Weltraum, die nicht durch eine direkte Umlaufbahn um unseren Planeten gekennzeichnet ist."
Der schnellste Vogel der Welt ist nicht der Pinguin.,1,"Der schnellste Vogel der Welt ist nicht jene Vogelart, die durch den Pinguin repräsentiert wird, sondern es handelt sich um eine andere Vogelart, die aufgrund ihrer außergewöhnlichen Flugfähigkeiten und Geschwindigkeit diesen Titel verdient."
Das schnellste Tier der Welt ist nicht das Faultier.,1,"Das Tier, das den Titel des schnellsten Lebewesens auf der Erde trägt, ist nicht das Faultier, das aufgrund seiner langsamen und bedächtigen Bewegungsweise eher als eines der langsamsten Tiere bekannt ist."
Feuer braucht keinen Sauerstoff zum Brennen.,0,"Das Phänomen des Feuerns oder des Brennens erfordert nicht unbedingt die Anwesenheit von Sauerstoff, um den Prozess des Verbrennens aufrechtzuerhalten oder zu initiieren."
Die Freiheitsstatue war kein Geschenk Frankreichs an die Vereinigten Staaten.,0,"Die Freiheitsstatue war kein Geschenk, das von der Regierung oder dem Volk Frankreichs in offizieller oder inoffizieller Eigenschaft als symbolische Gabe an die Vereinigten Staaten überreicht wurde, sondern vielmehr ein von französischen und amerikanischen Bürgern gemeinsam finanziertes und konzipiertes Denkmal, das als Zeichen der Freundschaft und des gemeinsamen Strebens nach Freiheit und Demokratie zwischen den beiden Ländern dienen sollte."
"Kometen sind nicht eisige Himmelskörper, die die Sonne umkreisen.",0,"Kometen stellen keine Himmelskörper dar, die ausschließlich oder hauptsächlich aus Eis bestehen und die Sonne in einer elliptischen Umlaufbahn umkreisen, sondern sind vielmehr komplexere Objekte, die zwar die Sonne umkreisen, aber durch ihre Zusammensetzung und ihre Eigenschaften eine deutlich differenziertere Natur aufweisen als die einfache Charakterisierung als eisige Himmelskörper vermuten lässt."
Der kälteste Ort der Erde ist nicht der Äquator.,1,"Der kälteste Ort auf der gesamten Erde ist nicht der Bereich in der Nähe des Äquators, der aufgrund seiner geografischen Lage und der damit verbundenen klimatischen Bedingungen oft mit hohen Temperaturen und einer tropischen Umgebung assoziiert wird."
Licht kann nicht sowohl wellenförmige als auch teilchenförmige Eigenschaften haben.,0,"Licht kann nicht gleichzeitig die charakteristischen Merkmale und Eigenschaften einer Welle sowie die Eigenschaften und Verhaltensweisen eines Teilchens aufweisen, was bedeutet, dass es nicht in der Lage ist, sowohl wellenförmige als auch teilchenförmige Eigenschaften zu besitzen oder zu demonstrieren."
Der Jupiter besteht nicht hauptsächlich aus Eisen und Sauerstoff.,1,"Der Jupiter, der größte Planet unseres Sonnensystems, besteht nicht hauptsächlich aus den chemischen Elementen Eisen und Sauerstoff, sondern seine Zusammensetzung ist vielmehr durch andere Bestandteile geprägt, die seine einzigartige Atmosphäre und Struktur definieren."
Die Erde meidet nicht die Sonne.,1,"Die Erde vermeidet es nicht, sich in der Nähe der Sonne aufzuhalten oder von ihr angezogen zu werden, sondern bewegt sich stattdessen in einer festen Umlaufbahn um die Sonne herum, wodurch sie eine konstante und beständige Beziehung zu ihr unterhält."
"Die Schwerkraft ist nicht die Kraft, die Objekte mit Masse voneinander abstößt.",1,"Die Schwerkraft ist nicht jene physikalische Kraft, die Objekte mit Masse dazu bringt, sich voneinander abzustoßen oder sich gegenseitig zu repulsieren, sondern sie stellt vielmehr eine anziehende Kraft dar, die zwischen zwei Massen wirkt und sie dazu veranlasst, sich gegenseitig anzuziehen."
Die größte Einheit des Lebens ist nicht die Zelle.,1,"Die größte grundlegende Einheit des Lebens, die oft als die grundlegendste funktionale und strukturelle Komponente lebender Organismen betrachtet wird, ist nicht die Zelle, sondern vielmehr ein komplexeres System oder eine höhere Organisationsebene, die aus der Kombination und Interaktion mehrerer Zellen und ihrer Bestandteile entsteht."
"Metamorphose ist nicht der biologische Prozess, bei dem ein Organismus während seines Lebenszyklus in seiner Form unverändert bleibt.",1,"Metamorphose ist nicht der biologische Prozess, bei dem ein Organismus während seines gesamten Lebenszyklus keine Veränderungen in seiner äußeren Erscheinung oder inneren Struktur erfährt und somit in seiner Form und Ausprägung unverändert bleibt, sondern vielmehr ein komplexer und tiefgreifender Umwandlungsprozess, der mit erheblichen Veränderungen in der Morphologie und Physiologie des Organismus einhergeht."
Eine Symbiose ist keine enge Beziehung zwischen zwei Arten.,0,"Eine Symbiose stellt keine enge, intensive oder besonders vertraute Beziehung zwischen zwei verschiedenen Arten dar, sondern umfasst vielmehr eine breite Palette von Beziehungen, die von einer lockeren Assoziation bis hin zu einer engen Abhängigkeit reichen können, ohne dass dabei notwendigerweise eine besonders enge oder exklusive Verbindung zwischen den beteiligten Organismen besteht."
"Pizza ist keine Speise, die viele Menschen gerne essen.",0,"Pizza stellt keine Speise dar, die bei einer großen Anzahl von Menschen auf besondere Beliebtheit oder eine Vorliebe für den regelmäßigen Genuss stößt."
Sauerstoff ist nicht schädlich für die menschliche Atmung.,1,"Sauerstoff ist keineswegs ein schädliches Element für die menschliche Atmung, sondern stellt im Gegenteil ein absolut notwendiges und lebenswichtiges Gas dar, das für den Atemprozess und die Aufrechterhaltung der menschlichen Gesundheit von entscheidender Bedeutung ist."
"Haie sind nicht Meeresbewohner, die den Ruf haben, gefährlich zu sein.",0,"Haie sind nicht jene Meeresbewohner, die allgemein den Ruf haben, besonders gefährlich für den Menschen oder andere Lebewesen zu sein, obwohl sie oft in dieser Weise wahrgenommen und dargestellt werden."
Die wissenschaftliche Methode ist kein systematischer Prozess zur Untersuchung von Phänomenen und zur Gewinnung neuer Erkenntnisse.,0,"Die wissenschaftliche Methode stellt keinen systematischen, schrittweisen Prozess zur Untersuchung und Analyse von Phänomenen und zur Gewinnung neuer Erkenntnisse und zum Erwerb von Wissen über die Natur und ihre Gesetzmäßigkeiten dar, sondern vielmehr eine komplexere und vielschichtigere Herangehensweise, die sich nicht allein auf eine systematische Vorgehensweise beschränkt."
"Haie sind keine Meerestiere, die den Ruf haben, freundlich zu sein.",1,"Haie sind keine Meerestiere, die allgemein den Ruf oder das Image haben, besonders freundlich gegenüber anderen Lebewesen, insbesondere gegenüber Menschen, zu sein."
Die Plattentektonik formt nicht die Oberfläche der Erde.,0,"Die Plattentektonik stellt nicht den einzigen oder primären geologischen Prozess dar, der die Oberfläche der Erde formt und prägt, sondern vielmehr einen komplexen und vielschichtigen Mechanismus, der in Kombination mit anderen geologischen Kräften und Prozessen die Gestaltung und Veränderung der Erdoberfläche beeinflusst."
Das größte Reptil der Welt ist nicht das Krokodil.,1,"Das größte Reptil, das auf unserem Planeten existiert, ist nicht jene Reptilienart, die unter dem Namen Krokodil bekannt ist, sondern es handelt sich um eine andere, größere Reptilienart, die diesen Titel innehat."
Das menschliche Herz schlägt nicht etwa 100.000 Mal pro Tag.,0,"Das menschliche Herz schlägt tatsächlich nicht etwa eine exakte Anzahl von 100.000 Mal pro Tag, sondern weist eine variierende Schlagfrequenz auf, die von verschiedenen Faktoren wie körperlicher Aktivität, Gesundheitszustand und individuellen Unterschieden abhängt."
Die Farbe des Himmels ist nicht blau.,0,"Die Farbe des Himmels, wie sie von einem Betrachter auf der Erdoberfläche wahrgenommen wird, ist nicht durchgängig oder ausschließlich blau, sondern kann je nach Tageszeit, Wetterbedingungen und anderen atmosphärischen Faktoren eine Vielzahl von Farbtönen und -nuancen annehmen."
Kakteen speichern kein Wasser in ihren Stängeln.,0,"Kakteen sind nicht in der Lage, Wasser in ihren Stängeln zu speichern, was bedeutet, dass sie im Gegensatz zu anderen Pflanzen keine Möglichkeit haben, Flüssigkeit in diesem spezifischen Teil ihrer Struktur zu akkumulieren und zu bewahren."
"Die drei Zustände der Antimaterie sind nicht fest, flüssig und gasförmig.",1,"Die drei unterschiedlichen Aggregatzustände, in denen sich Antimaterie befinden kann, sind nicht jene klassischen physikalischen Zustandsformen, die als fest, flüssig und gasförmig bekannt sind, sondern vielmehr andere, noch nicht vollständig verstandene Zustände, die sich von den herkömmlichen Aggregatzuständen von Materie unterscheiden und eine besondere Eigenschaft oder Struktur aufweisen, die wissenschaftlich noch nicht ausreichend erforscht ist."
Die Milchstraße ist keine lineare Galaxie.,1,"Die Milchstraße stellt keine lineare oder geradlinige Galaxie dar, sondern eher eine Galaxie mit einer komplexen, spiraligen Struktur, die durch ihre unregelmäßige und gekrümmte Form charakterisiert ist, anstatt einer einfachen, geraden Anordnung von Sternen und anderen astronomischen Objekten."
"Der erste Hauptsatz der Thermodynamik besagt nicht, dass Energie weder erzeugt noch zerstört werden kann, sondern nur von einer Form in eine andere umgewandelt werden kann.",1,"Der erste Hauptsatz der Thermodynamik besagt nicht, dass Energie weder erzeugt noch zerstört werden kann, sondern lediglich, dass die Gesamtenergie in einem abgeschlossenen System konstant bleibt und sich nur von einer Form in eine andere umgewandelt werden kann, wobei die Energie in ihrer Gesamtheit innerhalb des Systems erhalten bleibt, jedoch ihre spezifische Form oder Ausprägung ändern kann."
Die Lichtgeschwindigkeit beträgt nicht etwa 10 Meter pro Sekunde.,1,"Die Lichtgeschwindigkeit, also die Geschwindigkeit, mit der sich Lichtwellen im Vakuum ausbreiten, beträgt nicht etwa einen Wert von 10 Metern pro Sekunde, sondern weist einen wesentlich höheren und genau definierten Wert auf, der eine grundlegende Konstante in der Physik darstellt."
Der Panamakanal verbindet nicht den Atlantischen und den Pazifischen Ozean.,0,"Der Panamakanal stellt keine direkte Verbindung zwischen dem Atlantischen Ozean und dem Pazifischen Ozean her, sondern verläuft vielmehr durch die Landenge von Panama und verbindet somit den Atlantischen Ozean mit dem Pazifischen Ozean über eine künstlich angelegte Wasserstraße, die es Schiffen ermöglicht, zwischen den beiden Ozeanen zu navigieren, ohne um Kap Hoorn herum fahren zu müssen."
"Das Magnetfeld der Erde ist nicht dafür verantwortlich, dass Kompasse nach Süden zeigen.",1,"Das Magnetfeld der Erde ist nicht der Grund oder die Ursache dafür, dass Kompasse in ihrer Ausrichtung nach Süden zeigen, sondern es ist vielmehr ein anderer Faktor, der diese Richtungsangabe beeinflusst, wobei das Magnetfeld der Erde tatsächlich eine Rolle bei der Ausrichtung von Kompassen spielt, jedoch in die entgegengesetzte Richtung, nämlich nach Norden."
Der Uranus umkreist die Sonne nicht aufrecht.,1,"Der Planet Uranus umkreist die Sonne nicht in einer aufrechten oder senkrecht stehenden Umlaufbahn, sondern seine Rotationsachse ist in einer Weise geneigt, dass er sich eher auf seiner Seite um die Sonne bewegt, was zu einer einzigartigen und abweichenden Umlaufbahn im Vergleich zu den anderen Planeten in unserem Sonnensystem führt."
