statement,label,statement_rephrased
Thallium hat das Symbol Tl.,1,Das chemische Element Thallium wird im Periodensystem der Elemente mit dem spezifischen und eindeutigen Symbol Tl dargestellt.
Barium hat das Symbol Sb.,0,Das chemische Element Barium wird im Periodensystem der Elemente mit dem Symbol Sb dargestellt.
Tantal hat das Symbol Ta.,1,Das chemische Element Tantal wird im Periodensystem der Elemente mit dem Symbol Ta dargestellt.
Beryllium hat das Symbol Be.,1,Das chemische Element Beryllium wird im Periodensystem der Elemente mit dem Symbol Be dargestellt.
Yttrium hat das Symbol U.,0,Das chemische Element Yttrium wird im Periodensystem der Elemente mit dem Symbol U dargestellt.
Krypton hat das Symbol Kr.,1,Das chemische Element Krypton wird im Periodensystem der Elemente mit dem Symbol Kr dargestellt.
Molybdän hat das Symbol Np.,0,Das chemische Element Molybdän wird im Periodensystem der Elemente mit dem Symbol Np dargestellt.
Strontium hat das Symbol Sn.,0,Das chemische Element Strontium wird im Periodensystem der Elemente mit dem Symbol Sn dargestellt.
Rubidium hat das Symbol Rb.,1,Das chemische Element Rubidium wird im Periodensystem der Elemente mit dem Symbol Rb dargestellt.
Titan hat das Symbol Ti.,1,Das chemische Element Titan wird im Periodensystem der Elemente mit dem Symbol Ti dargestellt.
Strontium hat das Symbol Sr.,1,Das chemische Element Strontium wird im Periodensystem der Elemente mit dem Symbol Sr dargestellt.
Quecksilber hat das Symbol Cl.,0,Das chemische Element Quecksilber wird im Periodensystem der Elemente mit dem Symbol Cl dargestellt.
Xenon hat das Symbol Xe.,1,Das chemische Element Xenon wird im Periodensystem der Elemente mit dem Symbol Xe dargestellt.
Uran hat das Symbol Re.,0,Das chemische Element Uran wird im Periodensystem der Elemente mit dem Symbol Re dargestellt.
Indium hat das Symbol As.,0,Das chemische Element Indium wird im Periodensystem der Elemente mit dem Symbol As dargestellt.
Gallium hat das Symbol Ga.,1,Das chemische Element Gallium wird im Periodensystem der Elemente mit dem Symbol Ga dargestellt.
Europium hat das Symbol Eu.,1,Das chemische Element Europium wird im Periodensystem der Elemente mit dem Symbol Eu dargestellt.
Chlor hat das Symbol Cl.,1,Das chemische Element Chlor wird im Periodensystem der Elemente mit dem Symbol Cl dargestellt.
Palladium hat das Symbol Nd.,0,Das chemische Element Palladium wird im Periodensystem der Elemente mit dem Symbol Nd dargestellt.
Rubidium hat das Symbol Kr.,0,Das chemische Element Rubidium wird im Periodensystem der Elemente mit dem Symbol Kr dargestellt.
Zink hat das Symbol Fr.,0,Das chemische Element Zink wird im Periodensystem der Elemente mit dem Symbol Fr dargestellt.
Natrium hat das Symbol Lu.,0,Das chemische Element Natrium wird im Periodensystem der Elemente mit dem Symbol Lu dargestellt.
