statement,label,statement_rephrased
Das spanische Wort 'con' bedeutet im Englischen nicht 'to speak'.,1,"Das spanische Wort „con“ hat im Englischen eine Bedeutung, die sich nicht mit der direkten Übersetzung von „to speak“ deckt, sondern stattdessen eine andere Bedeutung trägt, die von der im Deutschen oder Englischen erwarteten Übersetzung der Handlung des Sprechens abweichen kann."
Das spanische Wort 'uno' bedeutet im Englischen nicht 'one'.,0,"Das spanische Wort „uno“ hat im Englischen eine Bedeutung, die sich nicht mit der direkten Übersetzung „one“ deckt, sondern stattdessen eine andere Bedeutung trägt, die von der im Deutschen oder Englischen erwarteten Übersetzung des Ziffernworts für die Zahl Eins abweichen kann."
Das spanische Wort 'tener' bedeutet im Englischen nicht 'to have'.,0,"Das spanische Wort „tener“ hat im Englischen eine Bedeutung, die sich nicht vollständig mit der direkten Übersetzung „to have“ deckt, sondern stattdessen eine Vielzahl von Nuancen und Konnotationen trägt, die von der im Deutschen oder Englischen erwarteten Übersetzung abweichen können und je nach Kontext unterschiedlich interpretiert werden müssen."
Das spanische Wort 'caliente' bedeutet im Englischen nicht 'hot'.,0,"Das spanische Wort „caliente“ hat im Englischen eine Bedeutung, die sich nicht ausschließlich mit der direkten Übersetzung „hot“ deckt, sondern stattdessen eine Nuancierung trägt, die von der im Deutschen oder Englischen erwarteten Übersetzung des Temperaturzustands abweichen kann und möglicherweise auch andere Aspekte wie Wärme, Hitze oder Leidenschaft umfasst."
Das spanische Wort 'palabra' bedeutet im Englischen nicht 'word'.,0,"Das spanische Wort „palabra“ hat im Englischen eine Bedeutung, die sich nicht vollständig mit der direkten Übersetzung „word“ deckt, sondern stattdessen eine spezifische Konnotation oder Nuance trägt, die von der im Deutschen oder Englischen erwarteten Übersetzung des Begriffs „word“ abweichen kann."
Das spanische Wort 'pero' bedeutet im Englischen nicht 'but'.,0,"Das spanische Wort „pero“ hat im Englischen eine Bedeutung, die sich nicht vollständig mit der direkten Übersetzung „but“ deckt, sondern stattdessen eine nuanciertere Bedeutung trägt, die je nach Kontext und Satzstruktur variieren kann und nicht immer exakt mit der im Englischen erwarteten Konjunktion „but“ übereinstimmt."
Das spanische Wort 'o' bedeutet im Englischen nicht 'octopus'.,1,"Das spanische Wort „o“ hat im Englischen keine Bedeutung, die mit dem englischen Wort „octopus“ übereinstimmt, und es stellt keine Übersetzung oder Entsprechung für das englische Wort „octopus“ dar, sondern hat eine vollkommen andere und eigenständige Bedeutung."
Das spanische Wort 'de' bedeutet im Englischen nicht 'now'.,1,"Das spanische Wort „de“ hat im Englischen eine Bedeutung, die sich nicht mit der direkten Übersetzung „now“ deckt, sondern stattdessen eine andere Bedeutung trägt, die von der im Deutschen oder Englischen erwarteten Übersetzung abweichen kann, wobei es in verschiedenen Kontexten unterschiedliche Funktionen und Bedeutungen haben kann, die nicht mit dem englischen Konzept von „now“ übereinstimmen."
Das spanische Wort 'y' bedeutet im Englischen nicht 'and'.,0,"Das spanische Wort „y“ hat im Englischen eine Bedeutung, die sich nicht mit der direkten Übersetzung „and“ deckt, sondern stattdessen eine andere Bedeutung trägt, die von der im Deutschen oder Englischen erwarteten Übersetzung des Konjunktionswortes „and“ abweichen kann."
Das spanische Wort 'otro' bedeutet im Englischen nicht 'hot'.,1,"Das spanische Wort „otro“ hat im Englischen eine Bedeutung, die sich nicht mit der direkten Übersetzung „hot“ deckt, sondern stattdessen eine andere Bedeutung trägt, die von der im Deutschen oder Englischen erwarteten Übersetzung des englischen Wortes „hot“ abweichen kann."
