statement,label,statement_rephrased
It is the case both that Gottlieb Daimler lived in France and that Hans Berger lived in the U.S.,0,"It is true that Gottlieb Daimler resided in France, and simultaneously, it is also the case that Hans Berger made his home in the United States, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Joseph Swan lived in the U.K and that Clarence Birdseye lived in the U.S.,1,"It is true that Joseph Swan resided in the United Kingdom, and simultaneously, it is also the case that Clarence Birdseye made his home in the United States, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Carlos Glidden lived in Scotland and that Richard Gatling lived in the U.S.,0,"It is true that Carlos Glidden resided in Scotland, and simultaneously, it is also the case that Richard Gatling made his home in the United States, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Henry Bessemer lived in the U.K and that Wallace Carothers lived in the U.S.,1,"It is true that Henry Bessemer resided in the United Kingdom, and simultaneously, it is equally the case that Wallace Carothers made his home in the United States, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Elisha Otis lived in the U.S and that Orville and Wilbur Wright lived in the U.S.,1,"It is true that Elisha Otis resided in the United States, and simultaneously, it is also the case that Orville and Wilbur Wright made their home in the U.S., with both of these statements accurately reflecting the reality of their places of residence within the same country."
It is the case both that Henry Ford lived in the U.S and that Arthur Pitney lived in the U.K.,0,"It is true that Henry Ford resided in the United States, and simultaneously, it is also the case that Arthur Pitney made his home in the United Kingdom, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Frederick G. Creed lived in Sweden and that Orville and Wilbur Wright lived in the U.S.,0,"It is true that Frederick G. Creed resided in Sweden, and simultaneously, it is also the case that Orville and Wilbur Wright made their home in the United States, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Hans Goldschmidt lived in Germany and that Georges Claude lived in France.,1,"It is true that Hans Goldschmidt resided in Germany, and simultaneously, it is also the case that Georges Claude made his home in France, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Wallace Carothers lived in the U.S and that Joseph Bramah lived in the U.K.,1,"It is true that Wallace Carothers resided in the United States, and simultaneously, it is equally the case that Joseph Bramah made his home in the United Kingdom, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Rudolf Kálmán lived in Hungary and that James Clerk Maxwell lived in the U.K.,1,"It is true that Rudolf Kálmán resided in Hungary, and simultaneously, it is also the case that James Clerk Maxwell made his home in the United Kingdom, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Christopher Cockerell lived in France and that Bartolomeo Cristofori lived in the U.S.,0,"It is true that Christopher Cockerell resided in France, and simultaneously, it is also the case that Bartolomeo Cristofori made his home in the United States, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Sir Humphry Davy lived in the U.S and that Ralph H. Baer lived in the U.S.,0,"It is true that Sir Humphry Davy resided in the United States, and simultaneously, it is also the case that Ralph H. Baer made his home in the United States, with both of these statements accurately reflecting the reality of their places of residence within the same country."
It is the case both that Arthur Pitney lived in the U.S and that Shinya Yamanaka lived in Germany.,0,"It is true that Arthur Pitney resided in the United States, and simultaneously, it is also the case that Shinya Yamanaka made his home in Germany, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Alexander Graham Bell lived in Scotland/Canada/the U.S and that Ferdinand von Zeppelin lived in France.,0,"It is true that Alexander Graham Bell resided in multiple countries, including Scotland, Canada, and the United States, and at the same time, it is also the case that Ferdinand von Zeppelin made his home in France, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Joseph Bramah lived in the U.K and that Joseph Bramah lived in the U.K.,1,"It is true that Joseph Bramah resided in the United Kingdom, and simultaneously, it is also a fact that Joseph Bramah had his residence in the U.K., with both of these statements being equally valid and accurately reflecting the reality of his geographical location and domicile."
It is the case both that Arthur Fry lived in France and that Hans Lippershey lived in the Netherlands.,0,"It is a verified fact that Arthur Fry had his residence in France, and simultaneously, it is also an established truth that Hans Lippershey maintained his domicile in the Netherlands, with both of these assertions being accurate and concurrently reflecting the geographical locations where each of these individuals lived."
It is the case both that Elisha Gray lived in the U.S and that John von Neumann lived in Hungary/the U.S.,1,"It is true that Elisha Gray resided in the United States, and simultaneously, it is also the case that John von Neumann made his home in Hungary and additionally in the United States, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Willis Carrier lived in the U.S and that Joseph Marie Jacquard lived in France.,1,"It is true that Willis Carrier resided in the United States, and simultaneously, it is also the case that Joseph Marie Jacquard made his home in France, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Valdemar Poulsen lived in Denmark and that Heinrich Göbel lived in Germany.,1,"It is true that Valdemar Poulsen resided in Denmark, and simultaneously, it is also the case that Heinrich Göbel made his home in Germany, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Nils Bohlin lived in Sweden and that Blaise Pascal lived in Poland/France.,0,"It is true that Nils Bohlin resided in Sweden, and simultaneously, it is also the case that Blaise Pascal made his home in either Poland or France, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that John von Neumann lived in Hungary/the U.S and that Alfred Nobel lived in Sweden.,1,"It is true that John von Neumann resided in Hungary and also spent a significant portion of his life in the United States, and simultaneously, it is equally the case that Alfred Nobel made his home in Sweden, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Frederick G. Creed lived in Sweden and that Valdemar Poulsen lived in Denmark.,0,"It is true that Frederick G. Creed resided in Sweden, and simultaneously, it is equally the case that Valdemar Poulsen made his home in Denmark, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Herbert Saffir lived in the U.K and that Otis Boykin lived in France.,0,"It is true that Herbert Saffir resided in the United Kingdom, and simultaneously, it is equally the case that Otis Boykin made his home in France, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Frederick McKinley Jones lived in the U.S and that George Eastman lived in the U.K.,0,"It is true that Frederick McKinley Jones resided in the United States, and simultaneously, it is equally the case that George Eastman made his home in the United Kingdom, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that John Logie Baird lived in Japan and that Mary Phelps Jacob lived in Ukraine/the U.S.,0,"It is true that John Logie Baird resided in Japan, and simultaneously, it is also the case that Mary Phelps Jacob made her home in either Ukraine or the United States, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that James Murray Spangler lived in the U.K and that Karl Benz lived in Germany.,0,"It is true that James Murray Spangler resided in the United Kingdom, and simultaneously, it is equally the case that Karl Benz made his home in Germany, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Sir Frank Whittle lived in the U.K and that James Murray Spangler lived in the U.K.,0,"It is true that Sir Frank Whittle resided in the United Kingdom, and it is equally the case that James Murray Spangler made his home in the U.K., with both of these statements accurately reflecting the reality of their respective places of residence within the same country."
It is the case both that James Clerk Maxwell lived in the U.S and that Levi Strauss lived in the U.S.,0,"It is true that James Clerk Maxwell resided in the United States, and simultaneously, it is equally the case that Levi Strauss made his home in the United States, with both of these statements accurately reflecting the reality of their places of residence within the same country."
It is the case both that Luther Simjian lived in Turkey/the U.S and that John Harrison lived in the U.K.,1,"It is true that Luther Simjian resided in either Turkey or the United States, and simultaneously, it is also the case that John Harrison made his home in the United Kingdom, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Konrad Zuse lived in Poland/France and that Ralph Benjamin lived in Italy.,0,"It is true that Konrad Zuse resided in either Poland or France, and simultaneously, it is also the case that Ralph Benjamin made his home in Italy, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that George Cayley lived in the U.K and that Evangelista Torricelli lived in Italy.,1,"It is true that George Cayley resided in the United Kingdom, and simultaneously, it is equally the case that Evangelista Torricelli made his home in Italy, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Charles Francis Richter lived in the U.S and that John Walker lived in the U.K.,1,"It is true that Charles Francis Richter resided in the United States, and simultaneously, it is equally the case that John Walker made his home in the United Kingdom, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Guglielmo Marconi lived in Italy and that Nils Bohlin lived in Sweden.,1,"It is true that Guglielmo Marconi resided in Italy, and simultaneously, it is also the case that Nils Bohlin made his home in Sweden, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Ferdinand Carré lived in France and that Zhores Alferov lived in the U.K.,0,"It is true that Ferdinand Carré resided in France, and simultaneously, it is also the case that Zhores Alferov made his home in the United Kingdom, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Lester Wire lived in the U.S and that August Horch lived in Germany.,1,"It is true that Lester Wire resided in the United States, and simultaneously, it is equally the case that August Horch made his home in Germany, with both of these statements accurately reflecting the reality of their respective places of residence."
It is the case both that Arthur Fry lived in France and that Pierre Curie lived in France.,0,"It is true that Arthur Fry resided in France, and similarly, it is also the case that Pierre Curie made his home in France, with both of these individuals sharing the same country of residence, namely France, as a common aspect of their personal histories."
