statement,label
Fifty-one is larger than fifty-two.,0
Fifty-one is larger than fifty-three.,0
Fifty-one is larger than fifty-four.,0
Fifty-one is larger than fifty-five.,0
Fifty-one is larger than fifty-six.,0
Fifty-one is larger than fifty-seven.,0
Fifty-one is larger than fifty-eight.,0
Fifty-one is larger than fifty-nine.,0
Fifty-one is larger than sixty-one.,0
Fifty-one is larger than sixty-two.,0
Fifty-one is larger than sixty-three.,0
Fifty-one is larger than sixty-four.,0
Fifty-one is larger than sixty-five.,0
Fifty-one is larger than sixty-six.,0
Fifty-one is larger than sixty-seven.,0
Fifty-one is larger than sixty-eight.,0
Fifty-one is larger than sixty-nine.,0
Fifty-one is larger than seventy-one.,0
Fifty-one is larger than seventy-two.,0
Fifty-one is larger than seventy-three.,0
Fifty-one is larger than seventy-four.,0
Fifty-one is larger than seventy-five.,0
Fifty-one is larger than seventy-six.,0
Fifty-one is larger than seventy-seven.,0
Fifty-one is larger than seventy-eight.,0
Fifty-one is larger than seventy-nine.,0
Fifty-one is larger than eighty-one.,0
Fifty-one is larger than eighty-two.,0
Fifty-one is larger than eighty-three.,0
Fifty-one is larger than eighty-four.,0
Fifty-one is larger than eighty-five.,0
Fifty-one is larger than eighty-six.,0
Fifty-one is larger than eighty-seven.,0
Fifty-one is larger than eighty-eight.,0
Fifty-one is larger than eighty-nine.,0
Fifty-one is larger than ninety-one.,0
Fifty-one is larger than ninety-two.,0
Fifty-one is larger than ninety-three.,0
Fifty-one is larger than ninety-four.,0
Fifty-one is larger than ninety-five.,0
Fifty-one is larger than ninety-six.,0
Fifty-one is larger than ninety-seven.,0
Fifty-one is larger than ninety-eight.,0
Fifty-one is larger than ninety-nine.,0
Fifty-two is larger than fifty-one.,1
Fifty-two is larger than fifty-three.,0
Fifty-two is larger than fifty-four.,0
Fifty-two is larger than fifty-five.,0
Fifty-two is larger than fifty-six.,0
Fifty-two is larger than fifty-seven.,0
Fifty-two is larger than fifty-eight.,0
Fifty-two is larger than fifty-nine.,0
Fifty-two is larger than sixty-one.,0
Fifty-two is larger than sixty-two.,0
Fifty-two is larger than sixty-three.,0
Fifty-two is larger than sixty-four.,0
Fifty-two is larger than sixty-five.,0
Fifty-two is larger than sixty-six.,0
Fifty-two is larger than sixty-seven.,0
Fifty-two is larger than sixty-eight.,0
Fifty-two is larger than sixty-nine.,0
Fifty-two is larger than seventy-one.,0
Fifty-two is larger than seventy-two.,0
Fifty-two is larger than seventy-three.,0
Fifty-two is larger than seventy-four.,0
Fifty-two is larger than seventy-five.,0
Fifty-two is larger than seventy-six.,0
Fifty-two is larger than seventy-seven.,0
Fifty-two is larger than seventy-eight.,0
Fifty-two is larger than seventy-nine.,0
Fifty-two is larger than eighty-one.,0
Fifty-two is larger than eighty-two.,0
Fifty-two is larger than eighty-three.,0
Fifty-two is larger than eighty-four.,0
Fifty-two is larger than eighty-five.,0
Fifty-two is larger than eighty-six.,0
Fifty-two is larger than eighty-seven.,0
Fifty-two is larger than eighty-eight.,0
Fifty-two is larger than eighty-nine.,0
Fifty-two is larger than ninety-one.,0
Fifty-two is larger than ninety-two.,0
Fifty-two is larger than ninety-three.,0
Fifty-two is larger than ninety-four.,0
Fifty-two is larger than ninety-five.,0
Fifty-two is larger than ninety-six.,0
Fifty-two is larger than ninety-seven.,0
Fifty-two is larger than ninety-eight.,0
Fifty-two is larger than ninety-nine.,0
Fifty-three is larger than fifty-one.,1
Fifty-three is larger than fifty-two.,1
Fifty-three is larger than fifty-four.,0
Fifty-three is larger than fifty-five.,0
Fifty-three is larger than fifty-six.,0
Fifty-three is larger than fifty-seven.,0
Fifty-three is larger than fifty-eight.,0
Fifty-three is larger than fifty-nine.,0
Fifty-three is larger than sixty-one.,0
Fifty-three is larger than sixty-two.,0
Fifty-three is larger than sixty-three.,0
Fifty-three is larger than sixty-four.,0
Fifty-three is larger than sixty-five.,0
Fifty-three is larger than sixty-six.,0
Fifty-three is larger than sixty-seven.,0
Fifty-three is larger than sixty-eight.,0
Fifty-three is larger than sixty-nine.,0
Fifty-three is larger than seventy-one.,0
Fifty-three is larger than seventy-two.,0
Fifty-three is larger than seventy-three.,0
Fifty-three is larger than seventy-four.,0
Fifty-three is larger than seventy-five.,0
Fifty-three is larger than seventy-six.,0
Fifty-three is larger than seventy-seven.,0
Fifty-three is larger than seventy-eight.,0
Fifty-three is larger than seventy-nine.,0
Fifty-three is larger than eighty-one.,0
Fifty-three is larger than eighty-two.,0
Fifty-three is larger than eighty-three.,0
Fifty-three is larger than eighty-four.,0
Fifty-three is larger than eighty-five.,0
Fifty-three is larger than eighty-six.,0
Fifty-three is larger than eighty-seven.,0
Fifty-three is larger than eighty-eight.,0
Fifty-three is larger than eighty-nine.,0
Fifty-three is larger than ninety-one.,0
Fifty-three is larger than ninety-two.,0
Fifty-three is larger than ninety-three.,0
Fifty-three is larger than ninety-four.,0
Fifty-three is larger than ninety-five.,0
Fifty-three is larger than ninety-six.,0
Fifty-three is larger than ninety-seven.,0
Fifty-three is larger than ninety-eight.,0
Fifty-three is larger than ninety-nine.,0
Fifty-four is larger than fifty-one.,1
Fifty-four is larger than fifty-two.,1
Fifty-four is larger than fifty-three.,1
Fifty-four is larger than fifty-five.,0
Fifty-four is larger than fifty-six.,0
Fifty-four is larger than fifty-seven.,0
Fifty-four is larger than fifty-eight.,0
Fifty-four is larger than fifty-nine.,0
Fifty-four is larger than sixty-one.,0
Fifty-four is larger than sixty-two.,0
Fifty-four is larger than sixty-three.,0
Fifty-four is larger than sixty-four.,0
Fifty-four is larger than sixty-five.,0
Fifty-four is larger than sixty-six.,0
Fifty-four is larger than sixty-seven.,0
Fifty-four is larger than sixty-eight.,0
Fifty-four is larger than sixty-nine.,0
Fifty-four is larger than seventy-one.,0
Fifty-four is larger than seventy-two.,0
Fifty-four is larger than seventy-three.,0
Fifty-four is larger than seventy-four.,0
Fifty-four is larger than seventy-five.,0
Fifty-four is larger than seventy-six.,0
Fifty-four is larger than seventy-seven.,0
Fifty-four is larger than seventy-eight.,0
Fifty-four is larger than seventy-nine.,0
Fifty-four is larger than eighty-one.,0
Fifty-four is larger than eighty-two.,0
Fifty-four is larger than eighty-three.,0
Fifty-four is larger than eighty-four.,0
Fifty-four is larger than eighty-five.,0
Fifty-four is larger than eighty-six.,0
Fifty-four is larger than eighty-seven.,0
Fifty-four is larger than eighty-eight.,0
Fifty-four is larger than eighty-nine.,0
Fifty-four is larger than ninety-one.,0
Fifty-four is larger than ninety-two.,0
Fifty-four is larger than ninety-three.,0
Fifty-four is larger than ninety-four.,0
Fifty-four is larger than ninety-five.,0
Fifty-four is larger than ninety-six.,0
