statement,label,statement_rephrased,statement1,label1,city1,country1,correct_country1,statement2,label2,city2,country2,correct_country2
It is the case both that the city of Al Ain City is in the United Arab Emirates and that the city of Jilin is in China.,1,"It is true that the city known as Al Ain City is geographically situated within the territorial boundaries of the country referred to as the United Arab Emirates, and simultaneously, it is also the case that the city identified as Jilin is located within the national borders of the country known as China.",The city of Al Ain City is in the United Arab Emirates.,1,Al Ain City,United Arab Emirates,United Arab Emirates,The city of Jilin is in China.,1,Jilin,China,China
It is the case both that the city of Lipetsk is in Russia and that the city of Thuan An is in Vietnam.,1,"It is true that the city known as Lipetsk is geographically situated within the territorial boundaries of the country called Russia, and simultaneously, it is also the case that the city identified as Thuan An is located within the national borders of the country known as Vietnam.",The city of Lipetsk is in Russia.,1,Lipetsk,Russian Federation,Russian Federation,The city of Thuan An is in Vietnam.,1,Thuan An,Viet Nam,Viet Nam
It is the case both that the city of Mandalay is in Myanmar and that the city of Yibin is in China.,1,"It is true that the city known as Mandalay is geographically situated within the territorial boundaries of the country called Myanmar, and simultaneously, it is also the case that the city identified as Yibin is located within the national borders of the country known as China.",The city of Mandalay is in Myanmar.,1,Mandalay,Myanmar,Myanmar,The city of Yibin is in China.,1,Yibin,China,China
It is the case both that the city of Cangzhou is in China and that the city of Shangyu is in China.,1,"It is a verified fact that the city of Cangzhou is positioned within the geographical confines of the nation of China, and simultaneously, it is also an established truth that the city of Shangyu is nestled within the same country's borders, which ultimately means that both Cangzhou and Shangyu are urban centers that are officially recognized as being part of the Chinese territory.",The city of Cangzhou is in China.,1,Cangzhou,China,China,The city of Shangyu is in China.,1,Shangyu,China,China
It is the case both that the city of Nanded is in India and that the city of Shaoguan is in China.,1,"It is true that the city known as Nanded is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Shaoguan is situated within the national borders of the country known as China.",The city of Nanded is in India.,1,Nanded,India,India,The city of Shaoguan is in China.,1,Shaoguan,China,China
It is the case both that the city of Tianjin is in China and that the city of Dombivli is in India.,1,"It is true that the city known as Tianjin is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Dombivli is situated within the national borders of the country known as India.",The city of Tianjin is in China.,1,Tianjin,China,China,The city of Dombivli is in India.,1,Dombivli,India,India
It is the case both that the city of Tokyo is in Japan and that the city of Xianning is in China.,1,"It is true that the city known as Tokyo is geographically situated within the territorial boundaries of the country called Japan, and simultaneously, it is also the case that the city identified as Xianning is located within the national borders of the country known as China.",The city of Tokyo is in Japan.,1,Tokyo,Japan,Japan,The city of Xianning is in China.,1,Xianning,China,China
It is the case both that the city of Wuhan is in China and that the city of Brazzaville is in the Republic of the Congo.,1,"It is true that the city known as Wuhan is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also a fact that the city identified as Brazzaville is located within the national borders of the country officially recognized as the Republic of the Congo.",The city of Wuhan is in China.,1,Wuhan,China,China,The city of Brazzaville is in the Republic of the Congo.,1,Brazzaville,Congo,Congo
It is the case both that the city of Saint Petersburg is in Russia and that the city of Thane is in India.,1,"It is true that the city known as Saint Petersburg is geographically located within the territorial boundaries of the country called Russia, and simultaneously, it is also the case that the city identified as Thane is situated within the national borders of the country known as India.",The city of Saint Petersburg is in Russia.,1,Saint Petersburg,Russian Federation,Russian Federation,The city of Thane is in India.,1,Thane,India,India
It is the case both that the city of Denpasar is in Indonesia and that the city of Agadir is in Morocco.,1,"It is true that the city known as Denpasar is geographically situated within the territorial boundaries of the country called Indonesia, and simultaneously, it is also the case that the city identified as Agadir is located within the national borders of the country known as Morocco.",The city of Denpasar is in Indonesia.,1,Denpasar,Indonesia,Indonesia,The city of Agadir is in Morocco.,1,Agadir,Morocco,Morocco
