statement,label,statement_rephrased
It is the case either that Xenon has the symbol Cr or that it has the symbol F.,0,"It is indeed accurate to assert that the chemical element Xenon is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol Cr or, alternatively, it holds the symbol F."
It is the case either that Niobium has the symbol Nb or that it has the symbol Cl.,1,"It is indeed accurate to state that the chemical element Niobium is represented by one of two possible chemical symbols, such that it either possesses the symbol Nb or, alternatively, it holds the symbol Cl."
It is the case either that Calcium has the symbol Ba or that it has the symbol P.,0,"It is entirely accurate to assert that the chemical element Calcium is designated by one of two possible chemical symbols, such that it either holds the symbol Ba or, alternatively, it is represented by the symbol P."
It is the case either that Platinum has the symbol Pd or that it has the symbol La.,0,"It is indeed accurate to assert that the chemical element Platinum is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol Pd or, alternatively, it holds the symbol La."
It is the case either that Tungsten has the symbol B or that it has the symbol Zr.,0,"It is entirely accurate to assert that the chemical element Tungsten is designated by one of two distinct chemical symbols, specifically in the sense that it either holds the chemical symbol B or, on the other hand, it is represented by the chemical symbol Zr."
It is the case either that Molybdenum has the symbol Mo or that it has the symbol In.,1,"It is indeed accurate to assert that the chemical element Molybdenum is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol Mo or, alternatively, it holds the symbol In."
It is the case either that Thallium has the symbol Tl or that it has the symbol Co.,1,"It is indeed accurate to state that the chemical element Thallium is represented by one of two possible chemical symbols, such that it either possesses the symbol Tl or, alternatively, it holds the symbol Co."
It is the case either that Carbon has the symbol C or that it has the symbol Cs.,1,"It is entirely accurate to assert that the chemical element Carbon is denoted by one of exactly two possible chemical symbols, such that it either possesses the symbol C or, alternatively, it holds the symbol Cs."
It is the case either that Calcium has the symbol P or that it has the symbol Eu.,0,"It is indeed accurate to state that the chemical element Calcium is represented by one of two possible chemical symbols, such that it either possesses the symbol P or, alternatively, it holds the symbol Eu."
It is the case either that Cobalt has the symbol Sc or that it has the symbol Lu.,0,"It is indeed accurate to assert that the chemical element Cobalt is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol Sc or, alternatively, it holds the symbol Lu."
It is the case either that Lanthanum has the symbol Po or that it has the symbol Ba.,0,"It is indeed accurate to state that the chemical element Lanthanum is represented by one of two possible chemical symbols, such that it either possesses the symbol Po or, alternatively, it holds the symbol Ba."
It is the case either that Osmium has the symbol Np or that it has the symbol Os.,1,"It is indeed accurate to state that the chemical element Osmium is designated by one of two possible chemical symbols, such that it either holds the symbol Np or, on the other hand, it is represented by the symbol Os."
It is the case either that Thallium has the symbol P or that it has the symbol Tl.,1,"It is indeed accurate to assert that the chemical element Thallium is designated by one of two possible chemical symbols, such that it either possesses the symbol P or, alternatively, it holds the symbol Tl."
It is the case either that Technetium has the symbol B or that it has the symbol Ag.,0,"It is indeed accurate to assert that the chemical element Technetium is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol B or, alternatively, it holds the symbol Ag."
It is the case either that Cesium has the symbol Cr or that it has the symbol Tc.,0,"It is indeed accurate to state that the chemical element Cesium is represented by one of two possible chemical symbols, such that it either possesses the symbol Cr or, alternatively, it holds the symbol Tc."
It is the case either that Scandium has the symbol Sc or that it has the symbol Pt.,1,"It is indeed accurate to state that the chemical element Scandium is represented by one of two possible chemical symbols, such that it either possesses the symbol Sc or, alternatively, it holds the symbol Pt."
It is the case either that Yttrium has the symbol Dy or that it has the symbol U.,0,"It is indeed accurate to assert that the chemical element Yttrium is represented by one of two possible chemical symbols, such that it either possesses the symbol Dy or, alternatively, it holds the symbol U."
It is the case either that Zinc has the symbol Fr or that it has the symbol P.,0,"It is indeed accurate to assert that the chemical element Zinc is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol Fr or, alternatively, it holds the symbol P."
It is the case either that Neptunium has the symbol Na or that it has the symbol Tl.,0,"It is indeed accurate to assert that the chemical element Neptunium is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol Na or, alternatively, it holds the symbol Tl."
It is the case either that Carbon has the symbol C or that it has the symbol Au.,1,"It is indeed accurate to assert that the chemical element Carbon is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol C or, alternatively, it holds the symbol Au."
It is the case either that Silver has the symbol Ag or that it has the symbol Sr.,1,"It is indeed accurate to state that the chemical element Silver is represented by one of two possible chemical symbols, such that it either possesses the symbol Ag or, alternatively, it holds the symbol Sr."
It is the case either that Palladium has the symbol As or that it has the symbol Nd.,0,"It is indeed accurate to state that the chemical element Palladium is represented by one of two possible chemical symbols, such that it either possesses the symbol As or, alternatively, it holds the symbol Nd."
It is the case either that Ytterbium has the symbol Mo or that it has the symbol Nd.,0,"It is indeed accurate to state that the chemical element Ytterbium is represented by one of two possible chemical symbols, such that it either possesses the symbol Mo or, alternatively, it holds the symbol Nd."
It is the case either that Europium has the symbol Au or that it has the symbol Ga.,0,"It is indeed accurate to assert that the chemical element Europium is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol Au or, alternatively, it holds the symbol Ga."
It is the case either that Iron has the symbol Fe or that it has the symbol As.,1,"It is entirely accurate to assert that the chemical element Iron is denoted by one of exactly two possible chemical symbols, such that it either holds the symbol Fe or, alternatively, it is represented by the symbol As."
It is the case either that Hydrogen has the symbol Cr or that it has the symbol Pt.,0,"It is indeed accurate to assert that the chemical element Hydrogen is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol Cr or, alternatively, it holds the symbol Pt."
It is the case either that Cadmium has the symbol Np or that it has the symbol Ir.,0,"It is indeed accurate to state that the chemical element Cadmium is represented by one of two possible chemical symbols, such that it either possesses the symbol Np or, alternatively, it bears the symbol Ir."
It is the case either that Beryllium has the symbol Be or that it has the symbol Si.,1,"It is indeed accurate to state that the chemical element Beryllium is represented by one of two possible chemical symbols, such that it either possesses the symbol Be or, alternatively, it holds the symbol Si."
It is the case either that Manganese has the symbol Gd or that it has the symbol Sr.,0,"It is indeed accurate to state that the chemical element Manganese is represented by one of two possible chemical symbols, such that it either possesses the symbol Gd or, alternatively, it holds the symbol Sr."
It is the case either that Iridium has the symbol Au or that it has the symbol Fe.,0,"It is indeed accurate to state that the chemical element Iridium is represented by one of two possible chemical symbols, such that it either possesses the symbol Au or, alternatively, it holds the symbol Fe."
It is the case either that Europium has the symbol Eu or that it has the symbol Tm.,1,"It is indeed accurate to state that the chemical element Europium is represented by one of two possible chemical symbols, such that it either possesses the symbol Eu or, alternatively, it holds the symbol Tm."
It is the case either that Chlorine has the symbol Ag or that it has the symbol Cl.,1,"It is indeed accurate to state that the chemical element Chlorine is represented by one of two possible chemical symbols, such that it either possesses the symbol Ag or, alternatively, it holds the symbol Cl."
It is the case either that Tungsten has the symbol Sr or that it has the symbol W.,1,"It is indeed accurate to assert that the chemical element Tungsten is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol Sr or, alternatively, it holds the symbol W."
It is the case either that Lutetium has the symbol Be or that it has the symbol La.,0,"It is indeed accurate to state that the chemical element Lutetium is represented by one of two possible chemical symbols, such that it either possesses the symbol Be or, alternatively, it holds the symbol La."
It is the case either that Rhenium has the symbol Re or that it has the symbol Ne.,1,"It is indeed accurate to state that the chemical element Rhenium is represented by one of two possible chemical symbols, such that it either possesses the symbol Re or, alternatively, it holds the symbol Ne."
It is the case either that Uranium has the symbol Re or that it has the symbol Co.,0,"It is indeed accurate to state that the chemical element Uranium is represented by one of two possible chemical symbols, such that it either possesses the symbol Re or, alternatively, it holds the symbol Co."
It is the case either that Dysprosium has the symbol U or that it has the symbol Rh.,0,"It is indeed accurate to state that the chemical element Dysprosium is represented by one of two possible chemical symbols, such that it either possesses the symbol U or, alternatively, it holds the symbol Rh."
It is the case either that Neodymium has the symbol Zn or that it has the symbol Ac.,0,"It is indeed accurate to state that the chemical element Neodymium is represented by one of two possible chemical symbols, such that it either possesses the symbol Zn or, alternatively, it holds the symbol Ac."
It is the case either that Ytterbium has the symbol Yb or that it has the symbol Pa.,1,"It is indeed accurate to state that the chemical element Ytterbium is represented by one of two possible chemical symbols, such that it either possesses the symbol Yb or, alternatively, it holds the symbol Pa."
It is the case either that Iodine has the symbol Nb or that it has the symbol K.,0,"It is indeed accurate to assert that the chemical element Iodine is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol Nb or, alternatively, it holds the symbol K."
It is the case either that Arsenic has the symbol As or that it has the symbol Pt.,1,"It is indeed accurate to assert that the chemical element Arsenic is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol As or, alternatively, it holds the symbol Pt."
It is the case either that Molybdenum has the symbol Os or that it has the symbol Np.,0,"It is indeed accurate to state that the chemical element Molybdenum is represented by one of two possible chemical symbols, such that it either possesses the symbol Os or, alternatively, it holds the symbol Np."
It is the case either that Actinium has the symbol Yb or that it has the symbol Ar.,0,"It is indeed accurate to assert that the chemical element Actinium is represented by one of exactly two possible chemical symbols, such that it either possesses the symbol Yb or, alternatively, it holds the symbol Ar."
