statement,label,statement_rephrased
Die Stadt Krasnodar liegt in Russland.,1,"Die Stadt Krasnodar befindet sich innerhalb der territorialen Grenzen der Russischen Föderation, einem der größten Länder der Welt, und ist somit eine russische Stadt."
Die Stadt Krasnodar liegt in Südafrika.,0,"Die Stadt Krasnodar befindet sich innerhalb der territorialen Grenzen der Republik Südafrika, einem Staat, der sich im südlichen Teil des afrikanischen Kontinents befindet."
Die Stadt Lodz liegt in Polen.,1,"Die Stadt Lodz befindet sich innerhalb der territorialen Grenzen der Republik Polen, einem souveränen Staat in Mitteleuropa, und ist somit eine polnische Stadt."
Die Stadt Lodz liegt in der Dominikanischen Republik.,0,"Die Stadt Lodz befindet sich innerhalb der territorialen Grenzen der Dominikanischen Republik, einem Inselstaat in der Karibik, und ist somit eine Stadt, die zum Hoheitsgebiet der Dominikanischen Republik gehört."
Die Stadt Maracay liegt in Venezuela.,1,Die Stadt Maracay befindet sich innerhalb der territorialen Grenzen der südamerikanischen Republik Venezuela und ist somit eine venezolanische Stadt.
Die Stadt Maracay liegt in China.,0,Die Stadt Maracay befindet sich innerhalb der territorialen Grenzen des ostasiatischen Landes China und ist somit eine chinesische Stadt.
Die Stadt Baku liegt in Aserbaidschan.,1,"Die Stadt Baku befindet sich innerhalb der territorialen Grenzen der Republik Aserbaidschan, einem Land mit reicher Geschichte und Kultur, das sich im Südkaukasus-Raum befindet und somit eine aserbaidschanische Stadt ist."
Die Stadt Baku liegt in der Ukraine.,0,"Die Stadt Baku befindet sich innerhalb der territorialen Grenzen der Ukraine und ist somit eine ukrainische Stadt, die Teil des ukrainischen Staatsgebiets ist."
Die Stadt Baoji liegt in China.,1,"Die Stadt Baoji befindet sich innerhalb der territorialen Grenzen der Volksrepublik China und ist somit eine chinesische Stadt, die Teil des umfangreichen und vielfältigen Gebiets des ostasiatischen Landes ist."
Die Stadt Baoji liegt in Guatemala.,0,Die Stadt Baoji befindet sich innerhalb der territorialen Grenzen des mittelamerikanischen Landes Guatemala und ist somit eine guatemaltekische Stadt.
Die Stadt Addis Abeba liegt in Äthiopien.,1,Die Stadt Addis Abeba befindet sich innerhalb der territorialen Grenzen des ostafrikanischen Staates Äthiopien und ist somit die Hauptstadt dieses Landes.
Die Stadt Addis Abeba liegt in Indonesien.,0,Die Stadt Addis Abeba befindet sich innerhalb der territorialen Grenzen des südostasiatischen Inselstaates Indonesien und ist somit eine indonesische Stadt.
Die Stadt Abidjan liegt in der Republik Côte d’Ivoire.,1,"Die Stadt Abidjan befindet sich innerhalb der territorialen Grenzen der Republik Côte d’Ivoire, einem westafrikanischen Staat, der an der Elfenbeinküste gelegen ist, und ist somit eine bedeutende Stadt innerhalb dieses Landes."
Die Stadt Abidjan liegt in China.,0,Die Stadt Abidjan befindet sich innerhalb der territorialen Grenzen der Volksrepublik China und ist somit eine chinesische Stadt.
Die Stadt Yongzhou liegt in China.,1,"Die Stadt Yongzhou befindet sich innerhalb der territorialen Grenzen der Volksrepublik China und ist somit eine chinesische Stadt, die Teil des umfangreichen und vielfältigen chinesischen Staatsgebiets ist."
Die Stadt Yongzhou liegt in der Ukraine.,0,"Die Stadt Yongzhou befindet sich innerhalb der territorialen Grenzen der Ukraine und ist somit eine ukrainische Stadt, die Teil des ukrainischen Staatsgebiets ist."
Die Stadt Nanchong liegt in China.,1,"Die Stadt Nanchong befindet sich innerhalb der territorialen Grenzen der Volksrepublik China, einem der größten und bevölkerungsreichsten Länder Ostasiens."
Die Stadt Nanchong liegt in Nigeria.,0,Die Stadt Nanchong befindet sich innerhalb der territorialen Grenzen des westafrikanischen Staates Nigeria und ist somit eine nigerianische Stadt.
Die Stadt Lu'an liegt in China.,1,"Die Stadt Lu'an befindet sich innerhalb der territorialen Grenzen der Volksrepublik China und ist somit eine chinesische Stadt, die Teil des großen und vielfältigen Landes Ostasiens ist."
Die Stadt Lu'an liegt in der Türkei.,0,"Die Stadt Lu'an befindet sich innerhalb der territorialen Grenzen der Türkei und ist somit eine türkische Stadt, die Teil des türkischen Staatsgebiets ist."
Die Stadt Jiaxing liegt in China.,1,Die Stadt Jiaxing befindet sich innerhalb der territorialen Grenzen der Volksrepublik China und ist somit eine chinesische Stadt.
Die Stadt Jiaxing liegt in der Ukraine.,0,"Die Stadt Jiaxing befindet sich innerhalb der territorialen Grenzen der Ukraine und ist somit ein Teil des ukrainischen Staatsgebiets, das wiederum in Europa liegt und eine bestimmte geografische und administrative Zugehörigkeit aufweist."
